t_ms,ax_mps2,ay_mps2,az_mps2
5236,-0.1961,-0.5492,9.3752
5256,0.2354,0.0392,9.9243
5276,0.1569,-0.5099,9.6890
5296,0.0000,-0.3530,9.1398
5316,0.0392,-0.5492,10.4735
5336,0.1177,-0.4707,8.8652
5356,0.0392,-0.3530,9.6105
5376,0.0785,-0.8238,9.8851
5396,0.0000,-0.4315,9.4144
5416,0.1569,-0.7453,10.1597
5436,0.0000,-0.8630,9.4928
5456,0.2354,-0.2746,9.7674
5476,0.0000,-0.5884,10.4343
5496,0.0785,-0.6276,8.9437
5516,0.1569,-0.5099,10.2381
5536,-0.1177,-0.6669,9.6105
5556,0.1569,-0.4315,9.2183
5576,0.1569,-0.5884,11.0619
5596,-0.2746,-0.7061,8.8652
5616,0.3138,-0.1961,10.0420
5636,0.1177,-0.7061,9.7674
5656,-0.1961,-0.3923,9.7674
5676,0.4707,-0.5884,10.2774
5696,-0.0392,-0.7845,9.1006
5716,0.0000,-0.6276,10.0028
5736,0.0785,-0.7061,9.9243
5756,-0.1569,-0.5099,9.9636
5776,0.2354,-0.7061,10.3166
5796,-0.0392,-0.5492,8.7868
5816,0.2354,-0.3923,9.8067
5836,0.0000,-0.7061,10.3166
5856,-0.0392,-0.4707,9.2183
5876,0.3138,-0.5099,10.2774
5896,-0.1177,-0.5099,9.2575
5916,0.1961,-0.4315,9.5713
5936,0.2354,-0.6669,10.2381
5956,-0.1569,-0.5099,9.5713
5976,0.3530,-0.7845,10.1205
5996,0.0392,-0.6669,9.6105
6016,-0.0392,-0.2746,9.4928
6036,0.1961,-0.6669,10.7873
6056,0.0000,-0.6276,9.1006
6076,0.1177,-0.1569,10.7089
6096,-0.0392,-0.7453,9.1790
6116,0.0392,-0.4315,9.5713
6136,-0.0392,-0.7453,10.3950
6156,0.1177,-0.3530,9.5321
6176,0.2354,-0.4315,9.9636
6196,0.1569,-0.9022,8.9437
6216,0.0392,-0.4707,10.3950
6236,0.3530,-0.6669,9.8067
6256,-0.1569,-0.2746,9.2183
6276,0.0000,-0.3138,10.4735
6296,0.2746,-0.6276,9.4536
6316,-0.1569,-0.2746,10.3558
6336,0.2354,-0.6276,10.4735
6356,0.1177,-0.6276,9.2575
6376,-0.0785,-0.4315,10.3558
6396,0.2746,-0.5884,9.6497
6416,-0.0785,-0.5099,10.0812
6436,0.1177,-0.7453,10.1989
6456,0.3138,-0.3138,8.6299
6476,-0.0785,-0.8238,10.3166
6496,0.0785,-0.7845,10.2381
6516,0.1961,-0.1177,9.3359
6536,0.1569,-0.8238,10.5912
6556,0.1177,-0.5492,8.7083
6576,0.0392,-0.3923,10.2774
6596,-0.0392,-1.0591,10.3558
6616,0.0000,-0.3923,9.2967
6636,0.1177,-0.3138,9.8459
6656,-0.0392,-0.6669,9.6105
6676,-0.1177,-0.4707,9.7674
6696,0.2354,-0.5884,9.9636
6716,-0.0392,-0.5099,9.4536
6736,0.1961,-0.4707,10.1597
6756,-0.0785,-0.5884,9.4536
6776,0.0392,-0.5492,9.5321
6796,0.3138,-0.7845,10.5520
6816,-0.2354,-0.3530,9.4536
6836,0.3530,-0.4707,10.0028
6856,0.0392,-0.7061,9.6105
6876,-0.1569,-0.4315,9.6105
6896,0.4315,-0.6276,10.1597
6916,-0.0392,-0.3923,9.1398
6936,-0.0785,-0.5492,10.0420
6956,0.1177,-0.6669,10.0812
6976,-0.1177,-0.3530,9.8067
6996,0.1961,-0.5099,10.1597
7016,-0.0785,-0.5099,9.5321
7036,0.1569,-0.1961,9.9243
7056,0.1177,-0.7453,10.1205
7076,0.0785,-0.1569,9.3752
7096,0.3138,-0.3923,10.0420
7116,-0.1177,-0.7453,9.3752
7136,-0.0392,-0.3923,9.7674
7156,0.0392,-0.4707,10.2774
7176,-0.0785,-0.6276,9.4536
7196,0.2746,-0.4707,9.6890
7216,0.1177,-0.7453,9.6105
7236,-0.0392,-0.3530,10.1205
7256,0.3923,-0.9807,9.6497
7276,-0.0392,-0.6276,8.9829
7296,0.0785,-0.4315,10.3950
7316,0.1177,-0.8238,9.3752
7336,-0.1177,-0.6276,9.6105
7356,0.0000,-0.7061,10.7089
7376,0.0392,-0.5492,8.8260
7396,-0.1569,-0.4707,10.1597
7416,0.0785,-0.8238,9.8459
7436,0.1569,-0.2354,9.0613
7456,0.1569,-0.7061,9.9636
7476,-0.1569,-0.5099,9.4928
7496,0.0785,-0.4707,9.7282
7516,0.1569,-0.7453,9.8459
7536,-0.2354,-0.3138,9.3752
7556,0.2746,-0.8238,10.1989
7576,0.0000,-0.5884,9.3752
7596,-0.1177,-0.3923,9.9636
7616,0.2354,-0.9414,10.1205
7636,-0.0785,-0.5099,9.0221
7656,-0.0392,-0.3923,10.2774
7676,0.1569,-0.9022,9.4144
7696,-0.0392,-0.3138,9.8851
7716,0.1961,-0.5492,9.9243
7736,-0.0392,-0.6669,9.6497
7756,0.0000,-0.3530,9.7674
7776,0.0785,-0.5884,9.8459
7796,-0.0392,-0.3923,9.7674
7816,0.0785,-0.6276,10.7089
7836,-0.0785,-0.5099,9.1398
7856,0.1569,-0.1569,10.5912
7876,0.1177,-0.7845,10.0028
7896,-0.0392,-0.1569,9.3359
7916,0.1569,-0.6276,10.4343
7936,-0.0785,-0.5492,9.1398
7956,-0.0785,-0.4707,10.1597
7976,0.4707,-0.8630,9.5713
7996,-0.0392,-0.3530,9.4928
8016,0.0392,-0.1569,9.7282
8036,0.1961,-0.5492,9.4144
8056,-0.0785,-0.3923,10.5520
8076,0.1961,-0.6669,9.8851
8096,0.0392,-0.3923,8.9044
8116,-0.1569,-0.2746,10.5520
8136,0.2746,-0.6276,9.1398
8156,0.0000,-0.4315,9.4928
8176,-0.1961,-0.8630,10.9050
8196,-0.0785,-0.7845,9.1006
8216,0.0000,-0.4707,10.3558
8236,0.1569,-0.7453,9.1790
8256,0.1177,-0.2354,9.5713
8276,0.3530,-0.7061,10.2381
8296,-0.1177,-0.6669,9.3359
8316,0.1177,-0.5099,9.8459
