t_ms,ax_mps2,ay_mps2,az_mps2
11876,0.2354,-0.8238,9.8851
11896,0.2354,-0.7453,9.8067
11916,0.2746,-0.7061,9.8067
11936,0.3138,-0.8238,9.8459
11956,0.3138,-0.7845,9.8851
11976,0.2746,-0.7845,9.9636
11996,0.2746,-0.8238,9.9243
12016,0.1961,-0.7453,9.9243
12036,0.2354,-0.9022,9.8851
12056,0.2354,-0.7061,9.9243
12076,0.3530,-0.7845,9.8851
12096,0.2746,-0.9414,9.8851
12116,0.3138,-0.7061,9.8067
12136,0.3138,-0.7453,9.7674
12156,0.3530,-0.8238,9.7674
12176,0.2746,-0.7453,9.8459
12196,0.2354,-0.7453,9.9243
12216,0.2746,-0.7061,9.7674
12236,0.2746,-0.7845,9.7282
12256,0.3138,-0.6669,9.7282
12276,0.2746,-0.7061,9.8459
12296,0.3530,-0.7061,9.8459
12316,0.3138,-0.7453,9.8459
12336,0.3138,-0.7845,9.8459
12356,0.3138,-0.8238,9.8851
12376,0.2746,-0.7061,9.7674
12396,0.3138,-0.7845,9.8851
12416,0.2746,-0.6669,9.8067
12436,0.2746,-0.6669,9.8851
12456,0.3530,-0.7453,9.8851
12476,0.3138,-0.5884,9.8067
12496,0.2354,-0.6669,9.8459
12516,0.2746,-0.6669,9.9243
12536,0.2354,-0.6669,9.9636
12556,0.2746,-0.7453,9.8459
12576,0.2746,-0.5884,9.8851
12596,0.2746,-0.8238,9.8459
12616,0.3138,-0.5884,9.8851
12636,0.3923,-0.6669,9.8459
12656,0.3138,-0.7845,9.9243
12676,0.3138,-0.6669,9.8067
12696,0.3138,-0.6669,9.7282
12716,0.3530,-0.7061,9.7282
12736,0.3138,-0.5884,9.8067
12756,0.2746,-0.7453,9.8459
12776,0.3138,-0.7061,9.8851
12796,0.3923,-0.7453,9.8067
12816,0.2746,-0.6669,9.6890
12836,0.2354,-0.6669,9.8851
12856,0.3530,-0.7061,9.9243
12876,0.3138,-0.6669,9.8851
12896,0.3530,-0.6276,9.8851
12916,0.2746,-0.7845,9.7674
12936,0.3138,-0.5492,9.7674
12956,0.2746,-0.7061,9.8067
12976,0.3923,-0.6669,9.9243
12996,0.2746,-0.6276,9.8851
13016,0.3138,-0.7845,9.8851
13036,0.3138,-0.5884,9.8459
13056,0.4315,-0.7453,9.9243
13076,0.2746,-0.7061,9.8459
13096,0.3138,-0.5884,9.8459
13116,0.3923,-0.7845,9.8851
13136,0.3138,-0.7061,9.8067
13156,0.3923,-0.6669,9.9243
13176,0.3138,-0.7453,9.9243
13196,0.1961,-0.6669,9.8851
