t_ms,ax_mps2,ay_mps2,az_mps2
9156,0.6276,-0.4707,9.8067
9176,0.6669,-0.5492,9.8067
9196,0.6669,-0.5099,9.7674
9216,0.6276,-0.5099,9.8067
9236,0.6669,-0.5492,9.8067
9256,0.6669,-0.5099,9.8067
9276,0.6276,-0.5492,9.7674
9296,0.6276,-0.5492,9.8067
9316,0.6669,-0.5492,9.7674
9336,0.6669,-0.5099,9.8067
9356,0.6276,-0.5492,9.8067
9376,0.6669,-0.5492,9.8459
9396,0.6276,-0.4707,9.7674
9416,0.6669,-0.5492,9.7674
9436,0.6276,-0.5492,9.8459
9456,0.6276,-0.5099,9.7674
9476,0.6669,-0.5099,9.8067
9496,0.6276,-0.5492,9.8067
9516,0.6276,-0.4707,9.8067
9536,0.5884,-0.5099,9.7674
9556,0.6669,-0.5099,9.8067
9576,0.6276,-0.5492,9.8067
9596,0.6669,-0.5099,9.8067
9616,0.6669,-0.5099,9.7674
9636,0.6276,-0.5099,9.7674
9656,0.6669,-0.5099,9.8459
9676,0.6276,-0.5492,9.8459
9696,0.6669,-0.5099,9.8459
9716,0.6276,-0.5099,9.8067
9736,0.6669,-0.5492,9.7674
9756,0.6669,-0.5099,9.8067
9776,0.6276,-0.5099,9.8459
9796,0.6276,-0.5492,9.8067
9816,0.6276,-0.5492,9.8459
9836,0.6669,-0.5492,9.7674
9856,0.6276,-0.5099,9.8067
9876,0.6669,-0.5099,9.8067
9896,0.6669,-0.5099,9.8459
9916,0.6669,-0.5099,9.8067
9936,0.6669,-0.5492,9.8459
9956,0.6276,-0.5099,9.8067
9976,0.6669,-0.4707,9.8067
9996,0.6276,-0.5099,9.7674
10016,0.6669,-0.5099,9.7674
10036,0.7061,-0.5492,9.8067
10056,0.6276,-0.5492,9.8459
10076,0.6276,-0.5099,9.7282
10096,0.6276,-0.5492,9.7674
10116,0.6276,-0.5099,9.8067
10136,0.6276,-0.5492,9.8067
10156,0.6669,-0.5099,9.8459
10176,0.6669,-0.5492,9.8459
10196,0.6276,-0.4707,9.7674
10216,0.6276,-0.4707,9.7674
10236,0.6276,-0.5099,9.8067
10256,0.6669,-0.5492,9.8067
10276,0.6276,-0.5492,9.7674
10296,0.6276,-0.5099,9.8067
10316,0.6276,-0.5492,9.8067
10336,0.5884,-0.5099,9.8067
10356,0.6276,-0.5492,9.8067
10376,0.6669,-0.4707,9.8067
10396,0.6276,-0.5492,9.8067
10416,0.6276,-0.5099,9.7674
10436,0.6276,-0.5099,9.7674
10456,0.6276,-0.5492,9.7674
10476,0.7061,-0.5099,9.7674
10496,0.6669,-0.5099,9.8067
10516,0.6669,-0.5492,9.8067
10536,0.7061,-0.5492,9.7674
10556,0.6669,-0.5099,9.7674
10576,0.6669,-0.5492,9.7674
10596,0.7061,-0.5884,9.8067
10616,0.6669,-0.5099,9.7674
10636,0.6669,-0.5099,9.8067
10656,0.5884,-0.5099,9.7282
10676,0.6669,-0.5492,9.8067
10696,0.6669,-0.5492,9.8067
10716,0.6669,-0.5492,9.8067
10736,0.6669,-0.5099,9.8067
10756,0.6669,-0.5099,9.8067
10776,0.6669,-0.5492,9.7674
10796,0.6276,-0.5492,9.8067
10816,0.6276,-0.5492,9.8067
10836,0.7061,-0.5492,9.7674
10856,0.6669,-0.4707,9.8067
10876,0.6276,-0.5492,9.7674
10896,0.7061,-0.5492,9.8067
10916,0.6669,-0.5099,9.8067
10936,0.6669,-0.5492,9.8067
10956,0.7061,-0.5492,9.8067
10976,0.6276,-0.5099,9.8067
10996,0.6669,-0.5099,9.7674
11016,0.6276,-0.4707,9.8459
11036,0.6669,-0.5492,9.7674
11056,0.6276,-0.5099,9.7674
11076,0.6669,-0.5099,9.8459
11096,0.6669,-0.5492,9.8067
11116,0.6276,-0.5099,9.8067
11136,0.6276,-0.5492,9.8067
11156,0.7061,-0.5492,9.8067
11176,0.6669,-0.5099,9.8067
11196,0.6669,-0.5099,9.8067
11216,0.6669,-0.5492,9.8851
11236,0.6276,-0.5492,9.8067
11256,0.6669,-0.5492,9.8067
11276,0.6669,-0.5492,9.8067
11296,0.6669,-0.5492,9.7674
11316,0.6276,-0.5099,9.7674
11336,0.6669,-0.5099,9.7282
11356,0.6276,-0.4707,9.7674
11376,0.6276,-0.5492,9.7674
11396,0.6669,-0.5099,9.8459
11416,0.6669,-0.5492,9.8067
11436,0.6669,-0.5099,9.8459
11456,0.6669,-0.5099,9.8459
11476,0.6669,-0.5099,9.8067
11496,0.6276,-0.5099,9.8067
11516,0.6276,-0.5099,9.7674
11536,0.6669,-0.5099,9.7674
11556,0.6276,-0.5099,9.8459
11576,0.6669,-0.5099,9.7674
11596,0.6669,-0.5492,9.8067
11616,0.6669,-0.5492,9.8067
11636,0.6276,-0.4707,9.8067
11656,0.6276,-0.5492,9.8067
11676,0.5884,-0.5099,9.8067
11696,0.6669,-0.5492,9.7674
11716,0.6669,-0.5099,9.8067
11736,0.6276,-0.4707,9.7674
11756,0.6276,-0.5099,9.7282
11776,0.6669,-0.5492,9.7674
11796,0.6276,-0.5099,9.7674
11816,0.6276,-0.5492,9.8067
11836,0.6669,-0.5099,9.7674
11856,0.6276,-0.4707,9.8067
11876,0.6276,-0.5099,9.8067
11896,0.6276,-0.5099,9.8459
11916,0.6669,-0.5099,9.8459
11936,0.6669,-0.5099,9.7674
11956,0.6276,-0.5492,9.8067
11976,0.6669,-0.5099,9.8459
11996,0.6669,-0.5099,9.7674
12016,0.6669,-0.5099,9.8459
12036,0.6669,-0.5099,9.8459
12056,0.6276,-0.4707,9.8067
12076,0.6276,-0.5492,9.8067
12096,0.6669,-0.5099,9.7674
12116,0.6669,-0.4707,9.7674
12136,0.6276,-0.5099,9.8459
12156,0.6669,-0.5099,9.8067
12176,0.6669,-0.5492,9.7674
12196,0.6669,-0.5099,9.8067
12216,0.6669,-0.5099,9.8459
12236,0.6669,-0.5492,9.7674
12256,0.6669,-0.5492,9.8067
12276,0.5884,-0.5099,9.8459
12296,0.6276,-0.5099,9.7674
12316,0.6669,-0.5492,9.7674
12336,0.7061,-0.5492,9.7282
12356,0.6669,-0.5492,9.8067
12376,0.6276,-0.5099,9.8067
12396,0.5884,-0.4707,9.8067
12416,0.6669,-0.5492,9.8067
12436,0.7061,-0.5492,9.7674
12456,0.6669,-0.5099,9.8459
12476,0.6276,-0.5099,9.7674
12496,0.6276,-0.5492,9.8459
12516,0.6669,-0.5099,9.8459
12536,0.6669,-0.5099,9.8067
12556,0.6276,-0.5099,9.8067
12576,0.6669,-0.5099,9.8067
12596,0.6669,-0.5492,9.8067
12616,0.6276,-0.5492,9.8459
12636,0.6669,-0.4707,9.7674
12656,0.6669,-0.5099,9.8459
12676,0.6276,-0.5099,9.8067
12696,0.6669,-0.5099,9.8067
12716,0.6669,-0.5099,9.8067
12736,0.6669,-0.5492,9.8459
12756,0.6276,-0.5099,9.8067
12776,0.6669,-0.5099,9.8067
12796,0.6669,-0.5492,9.7282
12816,0.6276,-0.5099,9.8067
12836,0.6276,-0.5099,9.8067
12856,0.6276,-0.5099,9.7674
12876,0.6276,-0.5099,9.8067
12896,0.6276,-0.4707,9.8459
12916,0.6276,-0.5099,9.8067
12936,0.6276,-0.5099,9.8067
12956,0.6276,-0.5099,9.8067
12976,0.6669,-0.5099,9.8067
12996,0.6669,-0.5492,9.8067
13016,0.6276,-0.5492,9.7674
13036,0.6669,-0.5492,9.8067
13056,0.6276,-0.5492,9.8067
13076,0.6276,-0.5492,9.7674
13096,0.6276,-0.4707,9.7674
13116,0.6669,-0.5492,9.7674
13136,0.6669,-0.5099,9.7674
13156,0.6276,-0.5492,9.8067
13176,0.6276,-0.5099,9.8067
13196,0.6669,-0.5492,9.7674
13216,0.6669,-0.5492,9.7674
13236,0.6276,-0.5492,9.8067
13256,0.6276,-0.5099,9.8067
13276,0.6669,-0.5099,9.8067
13296,0.6669,-0.5099,9.8067
13316,0.6669,-0.5099,9.8067
13336,0.6669,-0.5099,9.7674
13356,0.6276,-0.5099,9.8067
13376,0.7061,-0.5099,9.8067
13396,0.6276,-0.5099,9.7674
13416,0.6276,-0.5099,9.8067
13436,0.6276,-0.5099,9.8459
13456,0.6276,-0.5099,9.8459
13476,0.6669,-0.5492,9.8067
13496,0.6276,-0.4707,9.8067
13516,0.6669,-0.5492,9.8459
13536,0.6669,-0.5492,9.8067
13556,0.6669,-0.5099,9.8067
13576,0.6669,-0.5099,9.7282
13596,0.6669,-0.5492,9.8067
13616,0.6669,-0.5099,9.8067
13636,0.5884,-0.5099,9.7674
13656,0.6669,-0.5099,9.8067
13676,0.6276,-0.5099,9.8067
13696,0.6276,-0.5099,9.8067
13716,0.6669,-0.4707,9.8459
13736,0.6276,-0.5099,9.8459
13756,0.6669,-0.5099,9.8067
13776,0.6276,-0.4707,9.8067
13796,0.6276,-0.5099,9.7674
13816,0.6669,-0.5492,9.8067
13836,0.6669,-0.5099,9.8067
13856,0.6276,-0.4707,9.7674
13876,0.6669,-0.5492,9.7674
13896,0.6669,-0.5492,9.8459
13916,0.6276,-0.5099,9.7674
13936,0.6276,-0.5099,9.8067
13956,0.7061,-0.5099,9.8067
13976,0.6276,-0.5492,9.7674
13996,0.7061,-0.5099,9.7674
14016,0.6669,-0.5492,9.8067
14036,0.6669,-0.5492,9.7674
14056,0.6276,-0.4707,9.7674
14076,0.6669,-0.5099,9.8067
14096,0.6669,-0.5492,9.7674
14116,0.6276,-0.5099,9.7674
14136,0.6669,-0.5099,9.8067
14156,0.6669,-0.5099,9.8067
14176,0.6669,-0.5099,9.8067
14196,0.6276,-0.5492,9.8459
14216,0.6276,-0.5099,9.8459
14236,0.6276,-0.5492,9.8067
14256,0.6276,-0.5492,9.8067
14276,0.6669,-0.5099,9.8067
14296,0.6276,-0.5099,9.7674
14316,0.6276,-0.5099,9.8067
14336,0.7061,-0.5492,9.7674
14356,0.6669,-0.5099,9.7674
14376,0.6276,-0.5492,9.7674
14396,0.5884,-0.4707,9.8067
14416,0.6669,-0.5099,9.7674
14436,0.6669,-0.5492,9.8067
14456,0.6669,-0.5099,9.8067
14476,0.6276,-0.4707,9.7674
14496,0.6276,-0.5492,9.8067
14516,0.6276,-0.5492,9.8067
14536,0.6276,-0.5099,9.8067
14556,0.6276,-0.5884,9.7674
14576,0.6669,-0.5099,9.8067
14596,0.6669,-0.5099,9.7674
14616,0.6276,-0.5492,9.8067
14636,0.6276,-0.5492,9.8067
14656,0.6669,-0.5492,9.7674
14676,0.6276,-0.5099,9.7674
14696,0.6669,-0.5492,9.8067
14716,0.6669,-0.4707,9.8459
